brand,model,price,area,is_inverter,wifi_support,power_cooling,power_heating,min_heat_temp,image_url,description
MDV,Infini Nordic Heat Pump MDSAN-12HRFN8/MDOAN-12HFN8,3604.00,35,true,Optional,3.51,3.8,-25,,Сплит-система инвертор шум 24-39 дБ ионизатор
MDV,Infini Loft ERP Inverter MDSALF-18HRFN8/MDOALF-18HFN8,,50,true,Optional,5.27,5.56,-15,,Сплит-система инвертор шум 20-37 дБ ионизатор
MDV,Infini Nordic Heat Pump MDSAN-09HRFN8/MDOAN-09HFN8,1790.00,25,true,Optional,2.63,2.92,-25,,Сплит-система инвертор шум 24-36.5 дБ ионизатор
MDV,Infini Inverter MDSAG-07HRDN8/MDOAG-07HDN8,3199.00,20,true,Optional,2.2,2.34,-15,,Сплит-система инвертор шум 23.5-38.5 дБ ионизатор
MDV,Classic Inverter MDSC-18HRFN8/MDOC-18HFN8,2770.00,50,true,Optional,5.28,5.57,-15,,Сплит-система инвертор шум 26-42.5 дБ
MDV,Integra Pro Inverter MDSBI-12HRFN8/MDOAI-12HFN8,2490.00,35,true,Yes,3.52,3.81,-20,,Сплит-система инвертор шум 20-39 дБ ионизатор
MDV,Integra Pro Inverter MDSBI-09HRFN8/MDOAI-09HFN8,2130.00,25,true,Yes,2.64,2.93,-20,,Сплит-система инвертор шум 19-39 дБ ионизатор
MDV,Integra Inverter MDSI-09HRDN8/MDOI-09HDN8,3250.00,25,true,Optional,2.78,3.22,-15,,Сплит-система инвертор шум 21.5-38 дБ ионизатор
MDV,Nova 3-in-1 MDSAH-09HRFN8/MDOAH-09HFN8,2590.00,25,true,Yes,2.78,3.08,-20,,Сплит-система инвертор шум 20-36 дБ ионизатор обеззараживание ультрафиолетом
MDV,Infini UVpro Inverter MDSAL-12HRFN8/MDOAG-12HFN8,1969.00,35,true,Optional,3.52,3.81,-20,,Сплит-система инвертор шум 20-37 дБ
MDV,Classic Inverter MDSC-09HRDN8/MDOC-09HDN8,1809.00,25,true,Optional,2.63,2.92,-15,,Сплит-система инвертор шум 24.5-35 дБ
MDV,Classic Inverter MDSC-07HRDN8/MDOC-07HDN8,,20,true,Optional,2.34,2.43,-15,,Сплит-система инвертор шум 24.5-35 дБ
